ticker,name,sector,asset_class,sub_asset,sector_type,signal_return,signal_sharpe,weight
A261220,KODEX WTI원유선물(H),real_assets,위험자산,FX및원자재,alternative,0.009013439528644085,0.12016407400369644,0.2
A305720,KODEX 2차전지산업,SecondaryBattery,위험자산,국내주식_섹터,growth,0.007164922542870045,0.10474348068237305,0.15
A091160,KODEX 반도체,Semiconductor,위험자산,국내주식_섹터,growth,0.008917405270040035,0.1551578789949417,0.0
A144600,KODEX 은선물(H),real_assets,위험자산,FX및원자재,alternative,0.003492738353088498,0.056771691888570786,0.0
A381180,TIGER 미국필라델피아반도체나스닥,Semiconductor,위험자산,해외주식_섹터,growth,0.008051486685872078,0.14946545660495758,0.1
A381170,TIGER 미국테크TOP10 INDXX,BigTech,위험자산,해외주식_섹터,growth,0.009396425448358059,0.2028571218252182,0.0
229200,KODEX 코스닥150,domestic_core,위험자산,국내주식_지수,growth,0.003777355421334505,0.07278497517108917,0.2
133690,TIGER 미국나스닥100,global_macro,위험자산,해외주식_지수,growth,0.008205167017877102,0.22032207250595093,0.050000000000000044
182480,TIGER 미국MSCI리츠(합성H),defensive,위험자산,해외주식_섹터,defensive,0.006089852657169104,0.1408892720937729,0.0
A192090,TIGER 차이나CSI300,ChinaEquity,위험자산,해외주식_지수,growth,0.001543148304335773,0.045938946306705475,0.0
161510,PLUS 고배당주,defensive,위험자산,국내주식_섹터,defensive,0.0026864707469940186,0.07657000422477722,0.0
69500,KODEX 200,domestic_core,위험자산,국내주식_지수,growth,0.005707727745175362,0.17446237802505493,0.0
241180,TIGER 일본니케이225,global_macro,위험자산,해외주식_지수,growth,0.002488555619493127,0.07944662123918533,0.0
360750,TIGER 미국S&P500,global_macro,위험자산,해외주식_지수,growth,0.003834978211671114,0.1431845873594284,0.0
174350,TIGER 로우볼,defensive,위험자산,국내주식_섹터,defensive,0.003928801976144314,0.14139068126678467,0.0
251350,KODEX 선진국MSCI World,global_macro,위험자산,해외주식_지수,growth,0.004320576786994934,0.15671244263648987,0.0
A453870,TIGER 인도니프티50,IndiaEquity,위험자산,해외주식_지수,growth,0.005773857235908508,0.24575112760066986,0.0
A411060,ACE KRX금현물,real_assets,위험자산,FX및원자재,alternative,0.0026258642319589853,0.10677266120910645,0.0
402970,ACE 미국배당다우존스,defensive,위험자산,해외주식_지수,defensive,0.002483227290213108,0.11563961952924728,0.0
A261240,KODEX 미국달러선물,real_assets,위험자산,FX및원자재,alternative,0.001125394832342863,0.06528840214014053,0.0
A439870,KODEX 국고채30년액티브,sovereign_kr,안전자산,국내채권_종합,defensive,0.0005104829324409366,0.017426330596208572,0.2
A329750,TIGER 미국달러단기채권액티브,sovereign_us,안전자산,해외채권_종합,defensive,6.481993477791548e-05,0.003701738314703107,0.09999999999999987
