strategy,cum_return_%,ann_return_%,ann_vol_%,sharpe,MDD_%,hit_rate_%,n_periods
equal_weight,26.39,26.39,11.15,2.367,-10.32,65.4,52
conservative,15.4,15.4,8.66,1.778,-6.6,61.5,52
aggressive,27.16,27.16,28.04,0.969,-18.61,55.8,52
