date,strategy,n_holdings,expected_return,realized_return
2025-01-02,conservative,10,0.003491021925583482,0.011185562918214527
2025-01-02,aggressive,2,0.009679041802883148,0.03232122004671445
2025-01-02,equal_weight,29,,0.01057939748495614
2025-01-06,conservative,10,0.0022068899124860764,-0.0053117038598208795
2025-01-06,aggressive,1,0.013074314221739769,-0.0254981942963061
2025-01-06,equal_weight,29,,-0.006840604852690144
2025-01-13,conservative,10,0.00261809304356575,0.005674484401900464
2025-01-13,aggressive,1,0.011540254577994347,-0.0090035706646617
2025-01-13,equal_weight,29,,0.012364699408887493
2025-01-20,conservative,10,0.003754405537620187,-0.002049413344876616
2025-01-20,aggressive,4,0.0081238504499197,-0.008798619162612724
2025-01-20,equal_weight,29,,0.003146695415540376
2025-01-31,conservative,10,0.004723560996353626,-9.081000065870137e-05
2025-01-31,aggressive,8,0.008804280310869217,-0.004704352391747206
2025-01-31,equal_weight,29,,0.00044708522135414124
2025-02-03,conservative,10,0.0050410558469593525,0.007235387660446575
2025-02-03,aggressive,8,0.008666923269629478,0.02227352313123776
2025-02-03,equal_weight,29,,0.014326059962395846
2025-02-10,conservative,10,0.007085723802447319,0.002730785921019832
2025-02-10,aggressive,8,0.010738820768892765,0.02227368046182425
2025-02-10,equal_weight,29,,0.01051896447963074
2025-02-17,conservative,10,0.009154072031378746,0.0014169107688047056
2025-02-17,aggressive,8,0.013878416270017624,0.013264441854793876
2025-02-17,equal_weight,29,,-0.004117731952152007
2025-02-24,conservative,10,0.007019860669970512,-0.003468679789906825
2025-02-24,aggressive,8,0.010954761877655983,-0.037024633481234484
2025-02-24,equal_weight,29,,-0.015424658459690281
2025-03-04,conservative,10,0.005440773908048868,-0.001466307071306049
2025-03-04,aggressive,7,0.009766499511897564,-0.00231226524454212
2025-03-04,equal_weight,29,,-0.01129011872104082
2025-03-10,conservative,10,0.004598354455083609,-0.0010330647786514447
2025-03-10,aggressive,4,0.010571089573204517,-0.016896296577354777
2025-03-10,equal_weight,29,,-0.0007837390323870988
2025-03-17,conservative,10,0.0030234584119170904,0.01325035191378362
2025-03-17,aggressive,3,0.007655279245227575,0.032039087859560736
2025-03-17,equal_weight,29,,0.012683271222041676
2025-03-24,conservative,10,0.004372214898467064,-0.019960384042303082
2025-03-24,aggressive,2,0.015451302751898766,-0.059658964074980746
2025-03-24,equal_weight,29,,-0.019894582076590252
2025-03-31,conservative,10,0.004540205001831055,-0.051161979781666866
2025-03-31,aggressive,4,0.010320364497601986,-0.10320550011558527
2025-03-31,equal_weight,29,,-0.06724764156818112
2025-04-07,conservative,10,0.005754680372774601,0.011404442297574256
2025-04-07,aggressive,7,0.01063950639218092,0.04083769514747313
2025-04-07,equal_weight,29,,0.034053053230779035
2025-04-14,conservative,10,0.008524401113390923,0.00872169739411559
2025-04-14,aggressive,8,0.015714414417743683,-0.011101009140108288
2025-04-14,equal_weight,29,,-0.000599821816235116
2025-04-21,conservative,10,0.005468359217047691,0.011934212648698803
2025-04-21,aggressive,6,0.010476445779204369,0.023215896216150778
2025-04-21,equal_weight,29,,0.02463265544200172
2025-04-28,conservative,8,0.005026772152632475,-0.0039452675486395935
2025-04-28,aggressive,4,0.00918336771428585,-0.008160619468274826
2025-04-28,equal_weight,29,,-0.004642238849659934
2025-05-07,conservative,10,0.0054853823967278,0.018371453145361063
2025-05-07,aggressive,5,0.010826053097844124,0.03702757601568821
2025-05-07,equal_weight,29,,0.02328571456192421
2025-05-12,conservative,10,0.00470905564725399,-0.005646811105734886
2025-05-12,aggressive,3,0.012654309161007404,-0.011361700704055656
2025-05-12,equal_weight,29,,-0.000565256511251807
2025-05-19,conservative,10,0.004711753223091364,-0.0068424980969859365
2025-05-19,aggressive,4,0.010308858938515186,-0.01134678779904725
2025-05-19,equal_weight,29,,-0.008819611343253318
2025-05-26,conservative,10,0.0044838665053248405,0.005781857997554953
2025-05-26,aggressive,4,0.009840056300163269,0.009540170044997149
2025-05-26,equal_weight,29,,0.009313354194051344
2025-06-02,conservative,10,0.004100296180695295,0.02155034683002718
2025-06-02,aggressive,4,0.00852388795465231,0.05467146204949677
2025-06-02,equal_weight,29,,0.029722625782458753
2025-06-09,conservative,10,0.0029144836589694023,0.005595007714525419
2025-06-09,aggressive,2,0.008413778617978096,-0.01171948054677305
2025-06-09,equal_weight,29,,0.012770331599565875
2025-06-16,conservative,10,0.0038085582200437784,0.007157419423851912
2025-06-16,aggressive,3,0.010132377967238426,0.017547066704523058
2025-06-16,equal_weight,29,,0.007116892537628697
2025-06-23,conservative,10,0.0026187500916421413,-0.006207949673476859
2025-06-23,aggressive,2,0.006845870986580849,0.03315909958835895
2025-06-23,equal_weight,29,,0.005733647242691697
2025-06-30,conservative,10,0.004012682940810919,0.006196752741499774
2025-06-30,aggressive,8,0.009269054047763348,0.01690472470959896
2025-06-30,equal_weight,29,,0.010649581706651446
2025-07-07,conservative,10,0.004798720590770245,0.010007654560487156
2025-07-07,aggressive,6,0.009899652563035488,0.023294016182532528
2025-07-07,equal_weight,29,,0.01746220998334195
2025-07-14,conservative,10,0.00567818945273757,0.011434960229866013
2025-07-14,aggressive,5,0.011482082307338715,0.026313485711985652
2025-07-14,equal_weight,29,,0.0052750829540407955
2025-07-21,conservative,10,0.005312447436153889,-0.0028198078978365687
2025-07-21,aggressive,3,0.015315835364162922,-0.012347849178754294
2025-07-21,equal_weight,29,,-0.0013565107754113998
2025-07-28,conservative,10,0.005761891603469849,-0.0066962895439287035
2025-07-28,aggressive,4,0.013627464883029461,-0.021710492445275523
2025-07-28,equal_weight,29,,-0.010599489029660647
2025-08-04,conservative,10,0.0044152457267045975,0.01173030117974718
2025-08-04,aggressive,3,0.01228176336735487,0.017290086230621622
2025-08-04,equal_weight,29,,0.014599277588386117
2025-08-11,conservative,10,0.005698561668395996,0.0005422361598715591
2025-08-11,aggressive,5,0.013178588822484016,-0.00014996418880105795
2025-08-11,equal_weight,29,,-0.0002856377779454444
2025-08-18,conservative,10,0.00548149086534977,0.0018027038873633468
2025-08-18,aggressive,5,0.012468844652175903,0.015582004048936305
