date,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2026-01-14,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,defensive,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,domestic_core,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,global_macro,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,tech_future,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,emerging_asia,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,sovereign_debt,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,real_assets,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-05,rate_cash,0.0,0.0,0.0,0.0,0.0,0.0
