strategy,cum_return_%,ann_return_%,ann_vol_%,sharpe,MDD_%,hit_rate_%,n_periods
sarimax_top10_dbgaps,24.96,24.96,12.62,1.977,-12.47,73.1,52
tft_regime,31.67,31.67,12.26,2.584,-7.58,63.5,52
tft_equal_weight,26.39,26.39,11.15,2.367,-10.32,65.4,52
