ticker,p,d,q
133690,2,0,3
161510,3,0,0
174350,3,0,3
182480,3,0,0
229200,3,0,3
241180,2,0,3
251350,3,0,0
360750,3,0,0
402970,3,0,0
423160,3,0,3
459580,1,0,0
69500,3,0,0
A091160,3,0,0
A144600,2,0,3
A148070,3,0,3
A157450,3,0,0
A192090,2,0,1
A261220,3,0,3
A261240,2,0,0
A305080,3,0,0
A305720,3,0,3
A329750,3,0,0
A381170,3,0,0
A381180,2,0,3
A411060,2,0,1
A439870,3,0,0
A453850,2,0,1
A453870,2,0,1
