epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_RMSE,val_loss
0,49,,0.014564462937414646,,,
0,99,,0.010977950878441334,,,
0,149,,0.008813388645648956,,,
0,199,,0.010022709146142006,,,
0,249,,0.014907401986420155,,,
0,299,,0.013593753799796104,,,
0,349,,0.01072301808744669,,,
0,399,,0.010752575471997261,,,
0,449,,0.019377650693058968,,,
0,468,,,0.018971726298332214,0.02577146887779236,0.012678271159529686
0,468,0.012650677002966404,,,,
1,499,,0.012426548637449741,,,
1,549,,0.012125082314014435,,,
1,599,,0.016561532393097878,,,
1,649,,0.012103620916604996,,,
1,699,,0.012488104403018951,,,
1,749,,0.009813056327402592,,,
1,799,,0.009957185946404934,,,
1,849,,0.01028307806700468,,,
1,899,,0.0144374780356884,,,
1,937,,,0.01899772137403488,0.025801826268434525,0.012624618597328663
1,937,0.012323824688792229,,,,
2,949,,0.015940817072987556,,,
2,999,,0.013762304559350014,,,
2,1049,,0.010611837729811668,,,
2,1099,,0.010251594707369804,,,
2,1149,,0.013285798951983452,,,
2,1199,,0.01206248253583908,,,
2,1249,,0.010692925192415714,,,
2,1299,,0.014693871140480042,,,
2,1349,,0.010887178592383862,,,
2,1399,,0.010633599013090134,,,
2,1406,,,0.018921298906207085,0.025774361565709114,0.012578587047755718
2,1406,0.012199528515338898,,,,
3,1449,,0.010877297259867191,,,
3,1499,,0.011008850298821926,,,
3,1549,,0.01217525266110897,,,
3,1599,,0.011382325552403927,,,
3,1649,,0.014401450753211975,,,
3,1699,,0.010833293199539185,,,
3,1749,,0.013068614527583122,,,
3,1799,,0.010931314900517464,,,
3,1849,,0.012426813133060932,,,
3,1875,,,0.01891314797103405,0.02576662413775921,0.012569226324558258
3,1875,0.01213307399302721,,,,
4,1899,,0.01587541028857231,,,
4,1949,,0.01487361453473568,,,
4,1999,,0.014988149516284466,,,
4,2049,,0.012547400780022144,,,
4,2099,,0.017409315332770348,,,
4,2149,,0.012350952252745628,,,
4,2199,,0.013677984476089478,,,
4,2249,,0.013119691982865334,,,
4,2299,,0.011363993398845196,,,
4,2344,,,0.019000301137566566,0.025794660672545433,0.012612548656761646
4,2344,0.012085681781172752,,,,
5,2349,,0.012313912622630596,,,
5,2399,,0.012940775603055954,,,
5,2449,,0.01270897313952446,,,
5,2499,,0.010831272229552269,,,
5,2549,,0.013312654569745064,,,
5,2599,,0.016049183905124664,,,
5,2649,,0.01511406246572733,,,
5,2699,,0.011440034955739975,,,
5,2749,,0.010916206985712051,,,
5,2799,,0.00915693398565054,,,
5,2813,,,0.01895110495388508,0.02582402341067791,0.01255421619862318
5,2813,0.012023989111185074,,,,
6,2849,,0.017555471509695053,,,
6,2899,,0.011815717443823814,,,
6,2949,,0.008404778316617012,,,
6,2999,,0.010636584833264351,,,
6,3049,,0.007201411761343479,,,
6,3099,,0.014156701043248177,,,
6,3149,,0.013484390452504158,,,
6,3199,,0.011103945784270763,,,
6,3249,,0.014657668769359589,,,
6,3282,,,0.019016629084944725,0.025869932025671005,0.012608019635081291
6,3282,0.011970327235758305,,,,
7,3299,,0.01122879609465599,,,
7,3349,,0.010837097652256489,,,
7,3399,,0.01142388116568327,,,
7,3449,,0.012102801352739334,,,
7,3499,,0.00997469387948513,,,
7,3549,,0.014189640060067177,,,
7,3599,,0.011356400325894356,,,
7,3649,,0.010909033939242363,,,
7,3699,,0.0173866618424654,,,
7,3749,,0.011737151071429253,,,
7,3751,,,0.019177760928869247,0.025978339836001396,0.012729601934552193
7,3751,0.011911469511687756,,,,
8,3799,,0.01130562275648117,,,
8,3849,,0.01621253788471222,,,
8,3899,,0.016138963401317596,,,
8,3949,,0.011204499751329422,,,
8,3999,,0.012807432562112808,,,
8,4049,,0.013825060799717903,,,
8,4099,,0.009976528584957123,,,
8,4149,,0.013837347738444805,,,
8,4199,,0.01502784714102745,,,
8,4220,,,0.019215568900108337,0.025982677936553955,0.012757407501339912
8,4220,0.011814049445092678,,,,
9,4249,,0.009928146377205849,,,
9,4299,,0.013724434189498425,,,
9,4349,,0.0115212956443429,,,
9,4399,,0.010513287968933582,,,
9,4449,,0.011209499090909958,,,
9,4499,,0.017694685608148575,,,
9,4549,,0.008183913305401802,,,
9,4599,,0.012383623979985714,,,
9,4649,,0.010979799553751945,,,
9,4689,,,0.01942983828485012,0.026172904297709465,0.012977886945009232
9,4689,0.011732587590813637,,,,
10,4699,,0.01050957664847374,,,
10,4749,,0.008375224657356739,,,
10,4799,,0.014627024531364441,,,
10,4849,,0.00935607310384512,,,
10,4899,,0.014507949352264404,,,
10,4949,,0.01637650467455387,,,
10,4999,,0.013085594400763512,,,
10,5049,,0.011650433763861656,,,
10,5099,,0.012441970407962799,,,
10,5149,,0.010781383141875267,,,
10,5158,,,0.02006479911506176,0.02680751495063305,0.01314973272383213
10,5158,0.01165078766644001,,,,
