keyword,title,date,section,url
Nikkei 225,Oil Rises as Hostilities Flare in the Persian Gulf. Iranian drones struck Kuwait’s main international airport and the United States and Iran exchanged strikes,2026-06-03,global_macro,
Nikkei 225,Oil Prices Spike as U.S. and Iran Exchange Fire. Oil prices climbed as investors weighed a renewed exchange of military strikes between the United States and Iran against signs that both sides remain engaged in negotiations,2026-06-01,global_macro,
Nikkei 225,"Oil Prices Resume Decline After Ship Attack Briefly Rattled Markets. Crude prices hover at prewar levels, as trading remains volatile",2026-06-26,global_macro,
Nikkei 225,"Oil Prices Jump After Attack Halts Shipping in Strait of Hormuz. Oil prices fell, moving closer to levels not seen since the war in Iran began in February",2026-06-25,global_macro,
Nikkei 225,"Japan Raises Rates to 31-Year High to Ward Off War Inflation. Going against Prime Minister Takaichi’s wishes, Japan’s central bank acted amid U.S. pressure, a tanking currency and inflation from energy disruptions",2026-06-16,global_macro,
Nikkei 225,"Oil Rises on Trump’s Iran Threats and New Strikes Across Middle East. The attacks, which strained a two-month cease-fire between Iran and the United States, were the latest jolt to energy markets",2026-06-10,global_macro,
Nikkei 225,"Oil Rises as Hostilities Escalate Between Iran and Israel. Oil prices jumped and stocks plunged after Iran and Israel exchanged strikes, raising doubts about the future of fragile cease-fire in the Middle East",2026-06-08,global_macro,
