date,usd_krw,us_10y,vix_close,kr_10y,rate_spread
2019-01-01,1112.5,2.6610000133514404,23.21999931335449,1.948,-0.7130000133514405
2019-01-02,1113.800048828125,2.6610000133514404,23.21999931335449,1.948,-0.7130000133514405
2019-01-03,1122.1800537109375,2.553999900817871,25.450000762939453,1.955,-0.598999900817871
2019-01-04,1124.1199951171875,2.6589999198913574,21.3799991607666,1.972,-0.6869999198913574
2019-01-07,1114.4000244140625,2.681999921798706,21.399999618530277,1.977,-0.704999921798706
2019-01-08,1116.4000244140625,2.7160000801086426,20.46999931335449,1.994,-0.7220000801086426
2019-01-09,1121.050048828125,2.7279999256134038,19.979999542236328,1.985,-0.7429999256134032
2019-01-10,1118.6700439453125,2.7309999465942383,19.5,1.964,-0.7669999465942383
2019-01-11,1116.550048828125,2.700999975204468,18.190000534057617,1.992,-0.7089999752044678
2019-01-14,1118.5999755859375,2.7100000381469727,19.06999969482422,1.973,-0.7370000381469726
2019-01-15,1122.0,2.7109999656677246,18.600000381469727,1.968,-0.7429999656677246
2019-01-16,1122.4000244140625,2.7309999465942383,19.040000915527344,1.982,-0.7489999465942383
2019-01-17,1118.77001953125,2.749000072479248,18.059999465942383,1.976,-0.7730000724792481
2019-01-18,1120.550048828125,2.7839999198913574,17.799999237060547,2.008,-0.7759999198913574
2019-01-21,1125.7900390625,2.7839999198913574,17.799999237060547,2.028,-0.7559999198913574
2019-01-22,1132.3699951171875,2.7300000190734863,20.799999237060547,1.997,-0.7330000190734862
2019-01-23,1130.1500244140625,2.755000114440918,19.520000457763672,1.984,-0.771000114440918
2019-01-24,1125.3299560546875,2.711999893188477,18.88999938964844,1.993,-0.7189998931884765
2019-01-25,1126.75,2.753000020980835,17.420000076293945,2.005,-0.7480000209808351
2019-01-28,1118.010009765625,2.74399995803833,18.8700008392334,2.019,-0.72499995803833
2019-01-29,1119.699951171875,2.711999893188477,19.1299991607666,2.035,-0.6769998931884764
2019-01-30,1117.8699951171875,2.694999933242798,17.65999984741211,2.051,-0.6439999332427977
2019-01-31,1109.0,2.634999990463257,16.56999969482422,2.001,-0.633999990463257
2019-02-01,1111.550048828125,2.690999984741211,16.139999389648438,1.983,-0.7079999847412108
2019-02-04,1118.300048828125,2.7239999771118164,15.729999542236328,1.983,-0.7409999771118163
2019-02-05,1121.0999755859375,2.70199990272522,15.56999969482422,1.983,-0.7189999027252196
2019-02-06,1118.699951171875,2.70199990272522,15.380000114440918,1.983,-0.7189999027252196
