epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_RMSE,val_loss
0,49,,0.01214461587369442,,,
0,99,,0.012724310159683228,,,
0,149,,0.014594228938221931,,,
0,199,,0.013673226349055767,,,
0,249,,0.01234376896172762,,,
0,299,,0.01390909869223833,,,
0,349,,0.012444226071238518,,,
0,399,,0.014211514964699745,,,
0,449,,0.011404415592551231,,,
0,499,,0.012831902131438255,,,
0,549,,0.01451093703508377,,,
0,599,,0.011928240768611431,,,
0,649,,0.013215879909694195,,,
0,699,,0.01272009126842022,,,
0,749,,0.011203157715499401,,,
0,799,,0.012687042355537415,,,
0,849,,0.01102890633046627,,,
0,899,,0.010662311688065529,,,
0,949,,0.012678610160946846,,,
0,999,,0.011563126929104328,,,
0,1049,,0.01250051986426115,,,
0,1099,,0.010754326358437538,,,
0,1149,,0.014283117838203907,,,
0,1199,,0.0108580207452178,,,
0,1249,,0.01146160438656807,,,
0,1299,,0.011027304455637932,,,
0,1349,,0.011655480600893497,,,
0,1399,,0.010633532889187336,,,
0,1449,,0.011405856348574162,,,
0,1499,,0.013290362432599068,,,
0,1549,,0.012092710472643375,,,
0,1599,,0.011979000642895699,,,
0,1649,,0.013009248301386833,,,
0,1699,,0.011038809083402157,,,
0,1749,,0.010421974584460258,,,
0,1751,,,0.018178295344114304,0.024319306015968323,0.011794249527156353
0,1751,0.012209055945277214,,,,
1,1799,,0.011065448634326458,,,
1,1849,,0.010301013477146626,,,
1,1899,,0.010532153770327568,,,
1,1949,,0.010494012385606766,,,
1,1999,,0.01334080658853054,,,
1,2049,,0.01073276624083519,,,
1,2099,,0.012363320216536522,,,
1,2149,,0.011136531829833984,,,
1,2199,,0.013150517828762531,,,
1,2249,,0.011580278165638447,,,
1,2299,,0.00876665860414505,,,
1,2349,,0.01030225120484829,,,
1,2399,,0.010243184864521027,,,
1,2449,,0.011357962153851986,,,
1,2499,,0.011118835769593716,,,
1,2549,,0.011437131091952324,,,
1,2599,,0.010172443464398384,,,
1,2649,,0.010031023994088173,,,
1,2699,,0.011777433566749096,,,
1,2749,,0.011145266704261303,,,
1,2799,,0.010310784913599491,,,
1,2849,,0.01082695834338665,,,
1,2899,,0.009737096726894379,,,
1,2949,,0.008983271196484566,,,
1,2999,,0.010381479747593403,,,
1,3049,,0.010464845225214958,,,
1,3099,,0.009829428978264332,,,
1,3149,,0.010163671337068081,,,
1,3199,,0.009709618054330349,,,
1,3249,,0.008601313456892967,,,
1,3299,,0.009793432429432869,,,
1,3349,,0.009376048110425472,,,
1,3399,,0.009796067140996456,,,
1,3449,,0.010080543346703053,,,
1,3499,,0.00926734134554863,,,
1,3503,,,0.015950195491313934,0.021589631214737892,0.010412721894681454
1,3503,0.010367853567004204,,,,
2,3549,,0.011023120023310184,,,
2,3599,,0.009047066792845726,,,
2,3649,,0.008927871473133564,,,
2,3699,,0.009359989315271378,,,
2,3749,,0.008177670650184155,,,
2,3799,,0.010183507576584816,,,
2,3849,,0.00999072752892971,,,
2,3899,,0.008853345178067684,,,
2,3949,,0.00963093526661396,,,
2,3999,,0.009341007098555565,,,
2,4049,,0.00912044569849968,,,
2,4099,,0.009560062550008297,,,
2,4149,,0.008663495071232319,,,
2,4199,,0.009541290812194347,,,
2,4249,,0.009451514109969139,,,
2,4299,,0.00973792839795351,,,
2,4349,,0.0094603868201375,,,
2,4399,,0.009036769159138203,,,
2,4449,,0.009075334295630455,,,
2,4499,,0.009794180281460285,,,
2,4549,,0.008811542764306068,,,
2,4599,,0.0094810351729393,,,
2,4649,,0.008375132456421852,,,
2,4699,,0.009324842132627964,,,
2,4749,,0.00877979677170515,,,
2,4799,,0.00924667902290821,,,
2,4849,,0.00991881638765335,,,
2,4899,,0.00889124721288681,,,
2,4949,,0.008355682715773582,,,
2,4999,,0.00863719079643488,,,
2,5049,,0.00857500173151493,,,
