date,regime,reason,market_return,market_upside,market_downside,recent_sentiment,regime_return,conservative_return,aggressive_return,equal_weight_return
2025-01-02,conservative,defensive,0.0029727877,0.028160904,0.032976948,0.41172036567436054,-0.0020090516613929807,-0.0020090516613929807,0.03296069586886152,0.01057939748495614
2025-01-06,conservative,defensive,0.0031128235,0.028058145,0.033091545,1.4553468416228887,-0.0002654411917457066,-0.0002654411917457066,5.47577089507967e-05,-0.006840604852690144
2025-01-13,conservative,defensive,0.0030557136,0.028283084,0.033143118,-0.0704949520751695,0.008357342135363304,0.008357342135363304,0.02387374054983869,0.012364699408887493
2025-01-20,aggressive,momentum,0.0030906494,0.027355505,0.031796984,0.6904537081889136,-0.021110395919148612,0.005830195177401979,-0.021110395919148612,0.003146695415540376
2025-01-31,aggressive,momentum,0.0030213264,0.027059186,0.031224709,-0.08469101615324519,-0.0021878898246692805,0.005853756545162679,-0.0021878898246692805,0.00044708522135414124
2025-02-03,conservative,defensive,0.0029356617,0.02751674,0.03183753,-0.08469101615324519,0.0108818704041326,0.0108818704041326,0.023908397649731336,0.014326059962395846
2025-02-10,conservative,defensive,0.0028816324,0.027352165,0.031744823,0.3326978875714771,0.006097791189782571,0.006097791189782571,0.01813089325312255,0.01051896447963074
2025-02-17,conservative,defensive,0.002956368,0.026775897,0.030971799,0.5512777248509894,-0.0019279210536833145,-0.0019279210536833145,0.01458218697221129,-0.004117731952152007
2025-02-24,conservative,defensive,0.0027869854,0.027304897,0.03148734,-0.07107724363288609,0.0015908604470027368,0.0015908604470027368,-0.03961969108577823,-0.015424658459690281
2025-03-04,conservative,defensive,0.002243548,0.029584905,0.034286764,-0.0704949520751695,-0.004621939487817049,-0.004621939487817049,-0.015307912450888925,-0.01129011872104082
2025-03-10,conservative,defensive,0.0015559128,0.032622125,0.03824801,-0.07077584720745851,-0.0036906921204569363,-0.0036906921204569363,0.0035392534129354996,-0.0007837390323870988
2025-03-17,conservative,defensive,0.0013260014,0.033472683,0.039488442,0.24426947405546615,0.017819932781306447,0.017819932781306447,0.004674206217874392,0.012683271222041676
2025-03-24,conservative,defensive,0.001398361,0.031216023,0.0360743,-0.06575208604960385,-0.015569043078267689,-0.015569043078267689,-0.03655103828264462,-0.019894582076590252
2025-03-31,conservative,defensive,0.0018271288,0.030387605,0.035489526,0.6388642145337713,-0.06119663067552254,-0.06119663067552254,-0.0747170380460393,-0.06724764156818112
2025-04-07,conservative,sentiment_stoploss,0.0018456243,0.03735935,0.046039615,-0.6017629188448561,0.03993557868771603,0.03993557868771603,0.04650612919577437,0.034053053230779035
2025-04-14,conservative,defensive,0.0024524347,0.044955093,0.058323365,0.6853947323284316,-0.009369978657631917,-0.009369978657631917,-0.015156787648670594,-0.000599821816235116
2025-04-21,conservative,defensive,0.0020123112,0.036342274,0.042240556,-0.07104592813608601,0.03115822309023056,0.03115822309023056,0.02473907404860754,0.02463265544200172
2025-04-28,conservative,sentiment_stoploss,0.0024049182,0.0347502,0.039360058,-0.5546222454020875,0.00042500290309115596,0.00042500290309115596,-0.018777294454359352,-0.004642238849659934
2025-05-07,conservative,defensive,0.0024627117,0.033651564,0.037368085,-0.11475133422745491,0.030437406428259678,0.030437406428259678,0.026696604287254334,0.02328571456192421
2025-05-12,conservative,defensive,0.002698587,0.0325041,0.03527098,-0.06577356214419937,0.007309303880354476,0.007309303880354476,-0.011096163189644652,-0.000565256511251807
2025-05-19,conservative,defensive,0.003578778,0.030325828,0.03234643,0.690911255622704,-0.0027190454602610318,-0.0027190454602610318,-0.011456319127940803,-0.008819611343253318
2025-05-26,conservative,defensive,0.0038413478,0.031139078,0.032587122,-0.14925906209817968,0.005616660420404778,0.005616660420404778,0.0128627069277387,0.009313354194051344
2025-06-02,aggressive,momentum,0.004288984,0.031049918,0.031849198,-0.0704949520751695,0.03232490233879842,0.020533073085471032,0.03232490233879842,0.029722625782458753
2025-06-09,aggressive,momentum,0.004586741,0.030166954,0.030667441,-0.07046342334055081,0.028995571313602916,0.0057142255897328674,0.028995571313602916,0.012770331599565875
2025-06-16,aggressive,momentum,0.004720614,0.029923782,0.030223189,0.6908498126683793,0.017491917266769387,0.0006429533179740021,0.017491917266769387,0.007116892537628697
2025-06-23,aggressive,momentum,0.004604771,0.03092995,0.03181317,0.12456082413586574,-0.013292156444381774,0.007584014086906214,-0.013292156444381774,0.005733647242691697
2025-06-30,aggressive,momentum,0.005123711,0.028405469,0.028674865,0.8167876723660896,0.018305331399075638,0.01030057326941995,0.018305331399075638,0.010649581706651446
2025-07-07,aggressive,momentum,0.0043400466,0.027113134,0.027981365,-0.43219845509166915,0.019023738694434925,0.017232497851037087,0.019023738694434925,0.01746220998334195
2025-07-14,aggressive,momentum,0.003481546,0.025974719,0.02806103,-0.06995028176117682,0.010083195299313029,-0.004476529652106084,0.010083195299313029,0.0052750829540407955
2025-07-21,aggressive,momentum,0.0033096967,0.026494633,0.02910641,0.9732413261187045,-0.006332284426296705,-0.005499158675464598,-0.006332284426296705,-0.0013565107754113998
2025-07-28,aggressive,momentum,0.0035424845,0.025319707,0.027656192,0.6894630662084297,-0.006646691617551013,-0.008274937262053746,-0.006646691617551013,-0.010599489029660647
2025-08-04,aggressive,momentum,0.0035234853,0.02635394,0.029570397,-0.11809767531595725,0.006100114181227708,0.006062408553486685,0.006100114181227708,0.014599277588386117
2025-08-11,aggressive,momentum,0.003338692,0.025709491,0.02894173,-0.3948980789954808,-0.00879792099046176,0.002127318715655151,-0.00879792099046176,-0.0002856377779454444
2025-08-18,conservative,sentiment_stoploss,0.0032960495,0.025049169,0.028047498,-0.5675997528265684,0.005634540489369665,0.005634540489369665,0.0025644353762765562,0.005337570132108441
2025-08-25,aggressive,momentum,0.0031711902,0.025914785,0.029372657,-0.0704949520751695,0.003323205793211706,-0.001892869259796576,0.003323205793211706,-0.0009111550751331929
2025-09-01,aggressive,momentum,0.003144452,0.025226679,0.028314007,-0.0704949520751695,0.015911112244922004,0.002651210056196787,0.015911112244922004,0.00841012978086798
2025-09-08,conservative,defensive,0.0028800445,0.025829336,0.028836053,0.3059859515763203,0.011981319494070003,0.011981319494070003,0.03552154964480401,0.0198826130239762
2025-09-15,conservative,sentiment_stoploss,0.003198772,0.024670348,0.027733257,-0.7472795820306042,0.009229568363849777,0.009229568363849777,0.018741736153577042,0.009678444187969088
2025-09-22,aggressive,momentum,0.0031924373,0.024892028,0.027944492,0.311244411416175,0.0045005358209630805,0.005424910285626358,0.0045005358209630805,0.005460784833093996
2025-09-29,aggressive,momentum,0.0031106274,0.025621938,0.0291433,0.6570016598333687,0.01543885397906914,0.018796078193332646,0.01543885397906914,0.017662408356028086
2025-10-10,aggressive,momentum,0.003043526,0.025996968,0.029549802,0.28583313472731275,0.05513178980649123,0.010416056684977106,0.05513178980649123,0.014676909250036162
2025-10-13,conservative,defensive,0.0029988142,0.026969817,0.030865343,0.14907973101610844,0.011825323084268181,0.011825323084268181,0.008063459292496316,0.01866626348453231
2025-10-20,conservative,defensive,0.002490062,0.029363556,0.033864476,-0.17737250365659313,0.0037401107504886188,0.0037401107504886188,0.050712739294216345,0.018987176610865526
2025-10-27,conservative,defensive,0.0024960714,0.028201833,0.03233933,-0.37243286448072965,-0.0006063922659520466,-0.0006063922659520466,5.6070733042307705e-06,0.0018247587899812385
2025-11-03,conservative,defensive,0.0027529544,0.027555067,0.03157827,0.2760818911293831,0.0010415130980432627,0.0010415130980432627,-0.011050319562542673,0.0021313885363831646
2025-11-10,conservative,defensive,0.0026481915,0.028538436,0.03321139,-0.07048922511661068,0.002710710876392186,0.002710710876392186,-0.002698596804227731,3.695251797404482e-05
2025-11-17,conservative,defensive,0.0024619002,0.029759245,0.03509576,0.3545495091967953,-0.004822424110513558,-0.004822424110513558,-0.03554822464488871,-0.01641818531191649
2025-11-24,conservative,defensive,0.0020474594,0.032255765,0.03828239,-0.07023640122002342,0.01225923895572387,0.01225923895572387,0.05925708016681506,0.02253347382642469
2025-12-01,conservative,defensive,0.0021274905,0.029568402,0.034503948,-0.009773960079537477,0.005068473311219143,0.005068473311219143,0.018711238380747935,0.010960516961530015
2025-12-08,conservative,defensive,0.002502344,0.02827927,0.03306729,0.4917800782211086,-0.0009799207341362167,-0.0009799207341362167,0.008808640324388769,-0.0026326716167206447
2025-12-15,conservative,defensive,0.0025543722,0.028827256,0.03390101,-0.06791797303645469,0.0035685193624399526,0.0035685193624399526,-0.020503946790153986,0.003776915714803941
2025-12-22,conservative,defensive,0.0023801576,0.02904233,0.033998553,0.6909550607631693,-0.003952241227475916,-0.003952241227475916,0.000890879998711804,-0.0053675383076869955
