ticker,name,sector,sub_asset,w_conservative,signal_return,w_aggressive
A144600,KODEX 은선물(H),real_assets,0,0.0,0.0,0.2
A372330,KODEX 차이나항셍테크,emerging_asia,0,0.0,0.0,0.2
A451530,TIGER 국고채30년스트립액티브,sovereign_debt,0,0.0,0.0,0.2
A305540,TIGER 2차전지테마,tech_future,국내주식_섹터,0.028148723946170472,0.09289326,0.15
A371160,TIGER 차이나항셍테크,emerging_asia,0,0.0,0.0,0.09999999999999998
A439870,KODEX 국고채30년액티브,sovereign_debt,0,0.0,0.0,0.09999999999999998
A487230,KODEX 미국AI전력핵심인프라,tech_future,0,0.0,0.0,0.050000000000000044
A102780,KODEX 삼성그룹,defensive,국내주식_섹터,0.03490980570354642,0.039869573,0.0
A139260,TIGER 200 IT,tech_future,국내주식_섹터,0.03093271350740365,0.05563196,0.0
A182490,TIGER 단기선진하이일드(합성 H),sovereign_debt,해외채권_회사채,0.20000000879368604,0.0071109612,0.0
A278540,KODEX MSCI Korea TR,domestic_core,국내주식_지수,0.12783382750265138,0.019037474,0.0
A305720,KODEX 2차전지산업,tech_future,국내주식_섹터,0.027187725166065577,0.085798904,0.0
A310080,RISE 중국MSCI China(H),emerging_asia,해외주식_지수,0.12216613500964689,0.060470138,0.0
A363580,KODEX 200IT TR,tech_future,국내주식_섹터,0.028821042783457547,0.060091265,0.0
A455890,RISE 머니마켓액티브,rate_cash,금리연계형/초단기채권,0.20000000879368604,0.00080448727,0.0
A488770,KODEX 머니마켓액티브,rate_cash,금리연계형/초단기채권,0.20000000879368604,0.00092783803,0.0
