date,strategy,n_holdings,expected_return,realized_return
2025-01-02,conservative,10,0.0025133189413789245,-0.0020090516613929807
2025-01-02,aggressive,21,0.003872892144136131,0.03296069586886152
2025-01-02,equal_weight,29,,0.01057939748495614
2025-01-06,conservative,10,0.0031827468335473316,-0.0002654411917457066
2025-01-06,aggressive,21,0.004459398472681642,5.47577089507967e-05
2025-01-06,equal_weight,29,,-0.006840604852690144
2025-01-13,conservative,10,0.0027135657456569223,0.008357342135363304
2025-01-13,aggressive,21,0.004020829522050918,0.02387374054983869
2025-01-13,equal_weight,29,,0.012364699408887493
2025-01-20,conservative,10,0.0025347197438158465,0.005830195177401979
2025-01-20,aggressive,21,0.004319765837863088,-0.021110395919148612
2025-01-20,equal_weight,29,,0.003146695415540376
2025-01-31,conservative,10,0.00262750749305449,0.005853756545162679
2025-01-31,aggressive,22,0.0033362080110237004,-0.0021878898246692805
2025-01-31,equal_weight,29,,0.00044708522135414124
2025-02-03,conservative,10,0.0024061796689466147,0.0108818704041326
2025-02-03,aggressive,22,0.003235366067383438,0.023908397649731336
2025-02-03,equal_weight,29,,0.014326059962395846
2025-02-10,conservative,10,0.0025175020386352417,0.006097791189782571
2025-02-10,aggressive,22,0.0031711954507045448,0.01813089325312255
2025-02-10,equal_weight,29,,0.01051896447963074
2025-02-17,conservative,10,0.0027646506513769736,-0.0019279210536833145
2025-02-17,aggressive,22,0.003225877857767046,0.01458218697221129
2025-02-17,equal_weight,29,,-0.004117731952152007
2025-02-24,conservative,10,0.0025843261366686743,0.0015908604470027368
2025-02-24,aggressive,21,0.003191512415651232,-0.03961969108577823
2025-02-24,equal_weight,29,,-0.015424658459690281
2025-03-04,conservative,10,0.0019795511124925612,-0.004621939487817049
2025-03-04,aggressive,20,0.00266590784303844,-0.015307912450888925
2025-03-04,equal_weight,29,,-0.01129011872104082
2025-03-10,conservative,10,0.001967645394187657,-0.0036906921204569363
2025-03-10,aggressive,18,0.0018865866790292785,0.0035392534129354996
2025-03-10,equal_weight,29,,-0.0007837390323870988
2025-03-17,conservative,10,0.002057779026460989,0.017819932781306447
2025-03-17,aggressive,14,0.0020934540370944887,0.004674206217874392
2025-03-17,equal_weight,29,,0.012683271222041676
2025-03-24,conservative,10,0.00200482620765652,-0.015569043078267689
2025-03-24,aggressive,17,0.0017726040154229853,-0.03655103828264462
2025-03-24,equal_weight,29,,-0.019894582076590252
2025-03-31,conservative,10,0.0024600698090619967,-0.06119663067552254
2025-03-31,aggressive,19,0.0025750343338586386,-0.0747170380460393
2025-03-31,equal_weight,29,,-0.06724764156818112
2025-04-07,conservative,10,0.0022515060172323804,0.03993557868771603
2025-04-07,aggressive,20,0.0023478033021092416,0.04650612919577437
2025-04-07,equal_weight,29,,0.034053053230779035
2025-04-14,conservative,10,0.0028292049898767484,-0.009369978657631917
2025-04-14,aggressive,19,0.003415092010982335,-0.015156787648670594
2025-04-14,equal_weight,29,,-0.000599821816235116
2025-04-21,conservative,10,0.0030453743424255415,0.03115822309023056
2025-04-21,aggressive,18,0.0026933771732728933,0.02473907404860754
2025-04-21,equal_weight,29,,0.02463265544200172
