epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_RMSE,val_loss
0,49,,0.011005534790456295,,,
0,99,,0.012471464462578297,,,
0,149,,0.012649912387132645,,,
0,199,,0.01024056039750576,,,
0,249,,0.019270319491624832,,,
0,299,,0.01641933247447014,,,
0,349,,0.014107609167695045,,,
0,399,,0.011965797282755375,,,
0,449,,0.01259585004299879,,,
0,468,,,0.018868712708353996,0.025726795196533203,0.012581015937030315
0,468,0.012689233757555485,,,,
1,499,,0.011100834235548973,,,
1,549,,0.00997441541403532,,,
1,599,,0.0101252356544137,,,
1,649,,0.011531434953212738,,,
1,699,,0.012814072892069817,,,
1,749,,0.011970188468694687,,,
1,799,,0.011449364945292473,,,
1,849,,0.01367279514670372,,,
1,899,,0.013918218202888966,,,
1,937,,,0.018860165029764175,0.02573576755821705,0.012557691894471645
1,937,0.012324902229011059,,,,
2,949,,0.010148130357265472,,,
2,999,,0.012988843955099583,,,
2,1049,,0.013376094400882721,,,
2,1099,,0.013367501087486744,,,
2,1149,,0.010094649158418179,,,
2,1199,,0.011123782023787498,,,
2,1249,,0.011201483197510242,,,
2,1299,,0.008972576819360256,,,
2,1349,,0.012876775115728378,,,
2,1399,,0.01070497091859579,,,
2,1406,,,0.018803318962454796,0.025695230811834335,0.012515582144260406
2,1406,0.012248892337083817,,,,
3,1449,,0.013176372274756432,,,
3,1499,,0.012970676645636559,,,
3,1549,,0.013613998889923096,,,
3,1599,,0.010831955820322037,,,
3,1649,,0.013684721663594246,,,
3,1699,,0.01207546517252922,,,
3,1749,,0.00879475474357605,,,
3,1799,,0.015607299283146858,,,
3,1849,,0.010555261746048927,,,
3,1875,,,0.01886424981057644,0.025691209360957146,0.012537187896668911
3,1875,0.012203012593090534,,,,
4,1899,,0.016557496041059494,,,
4,1949,,0.011952702887356281,,,
4,1999,,0.01056276448071003,,,
4,2049,,0.009682937525212765,,,
4,2099,,0.00886976346373558,,,
4,2149,,0.012640504166483879,,,
4,2199,,0.012028422206640244,,,
4,2249,,0.010125895962119102,,,
4,2299,,0.012208021245896816,,,
4,2344,,,0.01896532066166401,0.025732344016432762,0.012513830326497555
4,2344,0.012148174457252026,,,,
5,2349,,0.00978629756718874,,,
5,2399,,0.011385055258870125,,,
5,2449,,0.010790225118398666,,,
5,2499,,0.011427818797528744,,,
5,2549,,0.01192152127623558,,,
5,2599,,0.013051602989435196,,,
5,2649,,0.013159440830349922,,,
5,2699,,0.013984886929392815,,,
5,2749,,0.012324945069849491,,,
5,2799,,0.011201467365026474,,,
5,2813,,,0.018836939707398415,0.025716086849570274,0.012464447878301144
5,2813,0.012100767344236374,,,,
6,2849,,0.009182993322610855,,,
6,2899,,0.010426842607557774,,,
6,2949,,0.011877041310071945,,,
6,2999,,0.011169263161718845,,,
6,3049,,0.010335396975278854,,,
6,3099,,0.01238936185836792,,,
6,3149,,0.010408790782094002,,,
6,3199,,0.011077957227826118,,,
6,3249,,0.010902120731770992,,,
6,3282,,,0.018868541345000267,0.02569149248301983,0.012454715557396412
6,3282,0.012046799063682556,,,,
7,3299,,0.011697017587721348,,,
7,3349,,0.012816913425922394,,,
7,3399,,0.01142976526170969,,,
7,3449,,0.011728410609066486,,,
7,3499,,0.014286249876022339,,,
7,3549,,0.01218344271183014,,,
7,3599,,0.01089815329760313,,,
7,3649,,0.010503792203962803,,,
7,3699,,0.013299239799380302,,,
7,3749,,0.014268499799072742,,,
7,3751,,,0.019041281193494797,0.025819532573223114,0.012510756030678749
7,3751,0.01197365764528513,,,,
8,3799,,0.008779387921094894,,,
8,3849,,0.010791940614581108,,,
8,3899,,0.010530856437981129,,,
8,3949,,0.01221086923032999,,,
8,3999,,0.010665787383913994,,,
8,4049,,0.010429532267153263,,,
8,4099,,0.013041317462921143,,,
8,4149,,0.01464772503823042,,,
8,4199,,0.012681832537055016,,,
8,4220,,,0.01917351223528385,0.025929884985089302,0.012631971389055252
8,4220,0.011920670047402382,,,,
9,4249,,0.012109014205634594,,,
9,4299,,0.011260978877544403,,,
9,4349,,0.01386549137532711,,,
9,4399,,0.01180333737283945,,,
9,4449,,0.011987543664872646,,,
9,4499,,0.009741471149027348,,,
9,4549,,0.010111860930919647,,,
9,4599,,0.012023155577480793,,,
9,4649,,0.01159624196588993,,,
9,4689,,,0.019373638555407524,0.0261237770318985,0.012747567147016525
9,4689,0.011843507178127766,,,,
10,4699,,0.011310379020869732,,,
10,4749,,0.013781771995127201,,,
10,4799,,0.010163647122681141,,,
10,4849,,0.009278874844312668,,,
10,4899,,0.013590019196271896,,,
10,4949,,0.008159846998751163,,,
10,4999,,0.009752273559570312,,,
10,5049,,0.012551545165479183,,,
10,5099,,0.011073580011725426,,,
10,5149,,0.010827900841832161,,,
10,5158,,,0.019244467839598656,0.02606930583715439,0.012706813402473927
10,5158,0.011765822768211365,,,,
